Country,Module,Year,Polarization
Australia,4,2013,2.71
Austria,4,2013,2.88
Brazil,4,2014,0.10
Bulgaria,4,2014,4.73
Canada,4,2011,3.27
Czech Republic,4,2013,4.77
Finland,4,2015,3.06
France,4,2012,4.43
Germany,4,2013,3.34
Greece,4,2012,4.64
Hong Kong,4,2012,
Iceland,4,2013,3.85
Ireland,4,2011,2.52
Israel,4,2013,2.33
Japan,4,2013,2.53
Kenya,4,2013,
Mexico,4,2015,3.00
Montenegro,4,2012,1.10
New Zealand,4,2014,3.88
Norway,4,2013,4.12
Philippines,4,2016,0.26
Poland,4,2011,2.92
Portugal,4,2015,5.09
Romania,4,2012,3.02
Serbia,4,2012,1.20
Slovakia,4,2016,3.74
Slovenia,4,2011,3.96
South Africa,4,2014,1.42
South Korea,4,2012,3.92
Sweden,4,2014,4.32
Switzerland,4,2011,4.04
Taiwan,4,2012,
Thailand,4,2011,
Turkey,3,2011,5.26
United Kingdom,4,2015,3.52
United States,4,2012,2.09
