Year,Argentina,Australia,Austria,Brazil,Bulgaria,Canada,Czech Republic,Finland,France,Germany,Greece,Hong Kong,Iceland,Ireland,Israel,Japan,Kenya,Latvia,Mexico,Montenegro,New Zealand,Norway,Peru,Philippines,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,South Africa,South Korea,Sweden,Switzerland,Taiwan,Thailand,Turkey,United Kingdom,United States of America
2010,2.816,null,1.698,2.633,1.453,1.563,0.878,1.033,1.554,0.585,null,2.734,null,0.124,2.746,0.688,null,0.551,1.587,2.621,0.896,0.407,2.575,1.854,2.627,0.565,1.335,2.024,1.423,2.367,2.196,2.489,0.947,0.709,0.596,3.918,3.704,1.057,null
2011,2.816,null,1.698,2.633,1.453,1.563,0.878,1.368,1.852,0.585,null,2.734,null,0.124,2.746,0.688,null,0.551,1.571,2.621,0.896,0.407,2.42,1.854,3.096,0.565,1.335,2.024,1.551,2.367,2.196,2.489,0.947,0.709,0.596,3.918,3.704,1.057,null
2012,2.816,null,1.698,2.633,1.487,1.563,0.878,1.368,1.867,0.585,null,2.734,null,0.124,2.746,1.446,null,0.551,1.712,2.621,0.896,0.407,2.124,1.854,3.087,0.565,1.335,2.024,1.791,2.72,2.196,2.489,0.947,0.709,0.596,3.918,3.81,1.057,null
2013,2.816,null,1.698,3.075,1.487,1.563,1.095,1.368,1.867,0.585,null,2.734,null,0.124,2.746,1.446,null,0.784,1.571,2.621,0.896,0.906,2.124,1.854,3.077,0.565,0.834,2.024,1.79,2.51,2.196,2.489,0.947,0.709,0.596,3.918,3.942,1.057,null
2014,2.816,null,1.698,3.257,1.535,1.563,1.095,1.368,1.867,0.585,null,3.464,null,0.124,2.746,1.446,null,0.784,1.583,3.012,0.896,0.906,2.124,1.854,3.077,0.565,0.834,2.228,1.798,2.51,2.196,2.618,0.947,0.709,0.747,3.705,3.942,1.057,null
2015,2.816,null,2.043,3.236,1.535,1.563,0.959,1.368,1.867,0.855,null,3.464,null,0.128,2.746,1.446,null,0.559,1.698,3.012,0.896,0.906,2.124,1.854,3.205,0.565,0.834,2.228,1.786,2.51,2.196,2.618,1.533,0.709,0.592,3.705,3.942,1.057,null
2016,2.816,null,2.043,3.701,1.611,1.563,0.959,1.368,1.867,1.304,null,3.464,null,0.128,2.746,1.446,null,0.559,2.164,3.426,0.896,0.906,2.812,2.826,3.452,0.565,0.834,2.228,1.809,2.157,2.196,2.957,1.533,0.709,0.891,3.257,3.993,1.057,null
2017,2.816,null,2.045,3.711,1.728,1.563,0.959,1.368,1.867,1.729,null,3.464,null,0.128,2.746,1.446,null,0.442,2.026,3.202,0.896,1.333,2.879,2.826,3.458,0.565,0.834,2.228,1.809,2.341,2.196,2.957,1.533,0.709,0.891,3.257,3.993,1.96,null
2018,2.816,null,2.045,3.898,1.829,1.563,1.096,1.368,1.867,1.729,null,3.464,null,0.128,3.22,1.446,null,0.265,2.144,3.202,0.896,1.333,3.126,2.826,3.639,0.565,0.834,2.228,1.925,2.341,2.196,2.957,1.533,0.709,1.118,3.665,3.993,1.96,null
2019,2.816,null,2.035,3.898,1.847,1.563,1.096,1.368,2.326,1.729,null,3.941,1.411,0.128,3.22,1.446,null,0.684,3.077,3.289,0.896,1.333,2.903,2.826,3.653,0.565,0.834,2.228,2.031,2.341,2.196,2.957,1.533,0.709,1.101,3.665,3.993,1.96,null
